                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7624,                 3.0378,                 1.8956,                0.45405,                0.43673,                0.42593,                0.26554,                 1.8837,                 2.3725,                 1.9894,             0.00033239,             0.00033239,             0.00033239
                      2,                 1.7616,                 2.4268,                 1.9038,                0.39599,                0.40982,                0.39553,                0.23136,                 2.0385,                 2.6269,                 2.1405,             0.00065254,             0.00065254,             0.00065254
                      3,                 1.7549,                 2.4006,                 1.8982,                0.57599,                0.44519,                 0.4477,                 0.2545,                 2.0384,                 2.3905,                  2.097,             0.00095949,             0.00095949,             0.00095949
                      4,                 1.7239,                 2.3448,                 1.8797,                0.51861,                0.47939,                0.45218,                0.26711,                 1.9185,                 2.3407,                 2.0014,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.6888,                 2.2459,                 1.8414,                0.52169,                0.52011,                0.50694,                0.31459,                 1.8689,                  2.192,                 1.9371,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.6611,                 2.1716,                  1.812,                0.52441,                0.50461,                0.49612,                0.30262,                 1.8535,                 2.1295,                 1.9026,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.6331,                   2.13,                 1.7981,                 0.6006,                0.52253,                0.52791,                0.33195,                 1.7788,                 2.0442,                 1.8578,               0.000901,               0.000901,               0.000901
                      8,                 1.5878,                 2.0602,                 1.7585,                0.56857,                0.51748,                0.54797,                0.34927,                 1.7514,                 1.9651,                 1.8135,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.5786,                 2.0049,                   1.75,                0.60672,                0.53988,                0.55297,                0.36891,                 1.6723,                 1.9278,                 1.7352,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.5454,                 1.9652,                 1.7334,                0.56424,                0.55918,                  0.561,                0.36549,                 1.7162,                 1.8779,                 1.7799,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.5234,                 1.9417,                 1.7087,                0.60665,                0.55624,                0.58788,                0.38592,                 1.7381,                 1.8785,                 1.7923,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.5095,                 1.9012,                 1.7063,                0.61879,                0.56134,                0.57105,                 0.4045,                 1.5902,                  1.867,                 1.6746,               0.000802,               0.000802,               0.000802
                     13,                 1.5016,                 1.8668,                 1.6887,                0.58386,                0.60145,                 0.6027,                0.40656,                  1.629,                 1.7708,                 1.6959,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.4724,                 1.7901,                 1.6561,                0.65053,                0.58535,                0.61187,                0.42489,                 1.5607,                 1.6961,                 1.6335,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.4637,                 1.8052,                 1.6583,                0.65857,                0.58072,                0.61454,                0.41677,                  1.568,                 1.6882,                 1.6474,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.4527,                  1.775,                  1.648,                 0.6555,                 0.5919,                0.61767,                0.41605,                 1.5918,                 1.6824,                 1.6657,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.4199,                 1.7238,                 1.6199,                0.61237,                 0.6078,                0.61067,                0.43155,                 1.5194,                 1.6844,                 1.6367,               0.000703,               0.000703,               0.000703
                     18,                 1.4254,                 1.7059,                 1.6204,                0.63915,                0.60417,                0.61532,                0.40516,                 1.6287,                 1.6685,                 1.7043,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.4037,                 1.6812,                 1.6028,                 0.6457,                0.63111,                0.64146,                0.45752,                 1.4967,                 1.6504,                 1.6293,              0.0006634,              0.0006634,              0.0006634
                     20,                  1.412,                 1.6634,                 1.6076,                0.63061,                0.62751,                 0.6425,                0.45083,                 1.4904,                 1.5778,                 1.6042,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.3713,                 1.6061,                 1.5797,                0.61464,                0.66746,                0.64503,                0.47077,                 1.4276,                 1.5571,                 1.5727,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.3784,                 1.5892,                 1.5812,                0.63264,                0.65248,                0.65365,                0.46451,                 1.4908,                 1.5207,                 1.5923,               0.000604,               0.000604,               0.000604
                     23,                 1.3671,                 1.5653,                 1.5655,                0.62383,                0.66732,                0.66151,                0.47673,                 1.4629,                 1.5165,                  1.572,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.3553,                  1.549,                 1.5558,                0.68197,                0.64353,                0.66488,                 0.4909,                 1.4044,                 1.5429,                 1.5489,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.3367,                 1.5202,                  1.548,                0.67851,                 0.6543,                0.67721,                0.48924,                 1.4068,                 1.5064,                 1.5427,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.3134,                 1.4842,                 1.5331,                0.66243,                0.67527,                0.67661,                 0.4907,                 1.3954,                 1.4884,                 1.5291,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.3215,                 1.4828,                 1.5374,                0.68866,                0.63609,                0.66808,                0.50311,                  1.373,                 1.4886,                 1.5108,               0.000505,               0.000505,               0.000505
                     28,                 1.3172,                  1.474,                 1.5394,                0.67669,                0.66749,                0.67821,                0.49765,                 1.3873,                  1.447,                  1.517,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.2936,                 1.4173,                  1.508,                0.70155,                0.68325,                0.70167,                0.50901,                 1.4036,                 1.4176,                 1.5312,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.2877,                 1.4298,                 1.5156,                0.70312,                0.65827,                0.69046,                0.50856,                 1.3801,                 1.4149,                  1.524,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.2822,                 1.3811,                 1.4915,                0.67856,                0.66975,                0.68433,                0.50002,                 1.3699,                  1.412,                  1.508,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.2706,                 1.3629,                 1.4872,                0.69651,                0.68115,                0.69438,                 0.5199,                  1.382,                 1.4105,                 1.5113,               0.000406,               0.000406,               0.000406
