                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6747,                 3.4041,                 3.5052,                 1.9171,                0.39142,                0.43306,                0.38446,                 0.2172,                0.36834,                0.43526,                0.37507,                0.21617,                  1.756,                 3.0881,                 2.4353,                 2.0681,             0.00019972,             0.00019972,             0.00019972
                      2,                 1.6311,                 3.1358,                  2.464,                    1.9,                0.54375,                0.41779,                0.40218,                0.23506,                0.56996,                0.41165,                0.40076,                0.24126,                 1.8012,                 3.2048,                 2.7857,                  2.154,             0.00039933,             0.00039933,             0.00039933
                      3,                 1.6301,                 3.1135,                 2.4182,                 1.9114,                0.40381,                0.48082,                0.42397,                0.24474,                0.38035,                0.46807,                0.41463,                0.24257,                 1.8045,                 3.2814,                 2.4013,                  2.091,             0.00059738,             0.00059738,             0.00059738
                      4,                 1.6417,                 3.1276,                 2.3981,                  1.915,                0.40988,                0.47914,                0.42157,                0.25241,                0.39948,                0.48062,                0.41713,                0.25911,                 1.7609,                 2.9861,                 2.4594,                  2.116,              0.0007927,              0.0007927,              0.0007927
                      5,                 1.6144,                 3.0899,                 2.3573,                 1.8863,                0.60628,                 0.4582,                0.45094,                0.28823,                0.60748,                0.45612,                0.44428,                0.29288,                 1.6645,                 2.8557,                 2.2217,                 2.0413,             0.00098417,             0.00098417,             0.00098417
                      6,                 1.5816,                 3.0062,                   2.28,                 1.8677,                0.47393,                0.49969,                0.47789,                 0.3111,                0.47399,                0.49771,                0.47217,                0.31074,                 1.6409,                 2.8084,                 2.1942,                 1.9808,             0.00097577,             0.00097577,             0.00097577
                      7,                 1.5306,                 2.9357,                 2.2082,                 1.8272,                0.40954,                0.53281,                 0.4836,                0.31369,                0.40986,                0.52036,                0.47797,                0.32134,                 1.6488,                 2.7976,                 2.2065,                 2.0068,             0.00097577,             0.00097577,             0.00097577
                      8,                 1.5072,                 2.8916,                   2.15,                 1.7826,                0.49179,                0.51373,                 0.5166,                0.33885,                0.49392,                0.50701,                 0.5087,                0.34456,                 1.6236,                 2.8225,                 2.0799,                 1.9363,             0.00096524,             0.00096524,             0.00096524
                      9,                 1.4854,                 2.8343,                 2.0925,                 1.7831,                0.52239,                0.53362,                0.55251,                 0.3581,                 0.5151,                0.51336,                0.53654,                0.36542,                 1.5566,                 2.6099,                 1.9824,                 1.8902,             0.00095289,             0.00095289,             0.00095289
                     10,                  1.454,                  2.781,                 2.0487,                 1.7591,                0.55333,                0.54719,                0.54606,                0.35526,                0.55254,                0.54857,                0.54461,                0.36584,                 1.6095,                 2.6481,                 1.9716,                 1.9226,             0.00093877,             0.00093877,             0.00093877
                     11,                 1.4271,                 2.7691,                 1.9935,                 1.7411,                0.55343,                0.55735,                0.55151,                0.37584,                0.54772,                0.55621,                0.54252,                0.37715,                 1.5702,                 2.7435,                 1.9737,                 1.9101,             0.00092294,             0.00092294,             0.00092294
                     12,                 1.4177,                 2.7518,                 1.9829,                 1.7317,                0.53885,                0.58208,                0.59264,                0.40583,                0.52896,                0.58468,                0.58096,                0.41049,                 1.5101,                 2.4997,                 1.8469,                 1.8585,             0.00090546,             0.00090546,             0.00090546
                     13,                 1.4088,                 2.6942,                  1.947,                 1.7217,                0.55816,                0.56785,                0.57331,                0.39267,                0.56629,                0.56366,                0.56614,                0.39958,                 1.4885,                 2.5126,                 1.8124,                 1.8254,              0.0008864,              0.0008864,              0.0008864
                     14,                 1.3736,                 2.6332,                 1.8791,                 1.6816,                0.53795,                0.60184,                0.58638,                0.40726,                 0.5309,                0.58535,                0.57683,                0.40972,                 1.4396,                 2.4472,                 1.7817,                  1.772,             0.00086584,             0.00086584,             0.00086584
                     15,                 1.3578,                 2.6183,                 1.8513,                 1.6721,                0.60201,                 0.5751,                0.61303,                0.42895,                0.59636,                 0.5789,                0.60448,                0.43159,                 1.4532,                 2.4982,                 1.7938,                 1.8074,             0.00084385,             0.00084385,             0.00084385
                     16,                 1.3407,                 2.5565,                 1.8236,                 1.6646,                0.52916,                0.62214,                0.59814,                0.41749,                0.59301,                0.59902,                0.59348,                0.42057,                 1.4325,                 2.4401,                 1.7935,                  1.776,             0.00082052,             0.00082052,             0.00082052
                     17,                 1.3145,                 2.5438,                 1.7858,                 1.6459,                0.57077,                0.62596,                0.63023,                0.45006,                0.61306,                 0.5891,                0.62304,                0.45351,                 1.4253,                 2.3751,                 1.6766,                 1.7582,             0.00079595,             0.00079595,             0.00079595
                     18,                 1.2929,                 2.5019,                  1.727,                 1.6195,                0.63323,                0.60368,                0.63623,                0.44675,                 0.6416,                0.59533,                0.62262,                0.44818,                 1.4634,                 2.3495,                 1.6988,                 1.7872,             0.00077023,             0.00077023,             0.00077023
                     19,                 1.2958,                 2.4754,                 1.7351,                 1.6148,                 0.5964,                0.59904,                0.61235,                0.43965,                  0.594,                 0.6036,                 0.6087,                0.44296,                 1.4624,                 2.4313,                 1.7626,                 1.8118,             0.00074347,             0.00074347,             0.00074347
                     20,                 1.2703,                 2.4619,                 1.6744,                 1.5944,                0.62211,                0.62186,                0.64001,                0.46226,                0.62576,                0.61247,                0.63202,                0.46311,                 1.4064,                 2.3409,                 1.6548,                 1.7373,             0.00071576,             0.00071576,             0.00071576
                     21,                 1.2738,                 2.4415,                 1.6674,                  1.595,                0.62102,                 0.6248,                0.65194,                0.46228,                0.62555,                0.61787,                0.64418,                0.46437,                 1.4139,                 2.2769,                 1.6092,                  1.739,             0.00068722,             0.00068722,             0.00068722
                     22,                 1.2316,                 2.3762,                 1.6031,                 1.5661,                0.67191,                0.62434,                0.65733,                0.47492,                0.67833,                0.62444,                0.65744,                0.47575,                 1.3639,                 2.2644,                 1.6198,                 1.7041,             0.00065796,             0.00065796,             0.00065796
                     23,                 1.2213,                  2.338,                 1.5703,                 1.5538,                0.60801,                 0.6305,                0.66292,                0.47798,                0.60746,                0.64676,                0.66149,                0.47564,                 1.3865,                 2.2883,                 1.5974,                 1.7241,              0.0006281,              0.0006281,              0.0006281
                     24,                 1.2087,                  2.342,                 1.5477,                 1.5461,                 0.6929,                0.63007,                0.67837,                0.48935,                0.68263,                0.63026,                0.66791,                0.48728,                 1.3584,                 2.2616,                 1.5337,                 1.7055,             0.00059775,             0.00059775,             0.00059775
